age,starttime,gender,hhi,education,ideo5,newsint,corona1,stimulus_check,amount,employ,pres_2020,pres_2020lean,dfp_public_figure_ap_1,dfp_public_figure_ap_2,dfp_public_figure_ap_3,dfp_public_figure_ap_4,dfp_public_figure_ap_5,dfp_public_figure_ap_6,dfp_public_figure_ap_7,dfp_public_figure_ap_8,dfp_public_figure_ap_9,dfp_public_figure_ap_10
27,5/5/2020 13:33,Female,6,2,Liberal,Some of the time,Not too worried,Yes,2400,Homemaker,A different candidate,,Not sure,Somewhat approve,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Somewhat disapprove,Not sure,Somewhat approve
76,5/5/2020 13:27,Male,8,6,Very conservative,Most of the time,Not too worried,Yes,1200,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve
38,5/5/2020 13:11,Female,4,4,Liberal,Only now and then,Not too worried,Yes,1700,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve
34,5/5/2020 13:36,Male,5,2,Conservative,Hardly at all,Very worried,Yes,2400,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve
69,5/5/2020 13:29,Male,1,4,Liberal,Only now and then,Very worried,Yes,1200,Retired,Would not vote,,Strongly disapprove,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve
62,5/5/2020 13:21,Female,3,5,Liberal,Some of the time,Somewhat worried,Yes,1,Retired,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Not sure,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve
43,5/5/2020 13:42,Male,24,7,Very liberal,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat approve
56,5/5/2020 13:33,Female,2,6,Liberal,Most of the time,Somewhat worried,Yes,1200,Other,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove
54,5/5/2020 13:39,Male,1,1,Liberal,Some of the time,Very worried,No,,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Not sure,Not sure,Not sure,Not sure,Strongly approve,Strongly disapprove,Somewhat approve
74,5/5/2020 13:33,Female,9,6,Moderate,Most of the time,Not too worried,Yes,2,Part-time,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve,Not sure,Not sure,Somewhat approve,Not sure,Somewhat approve,Somewhat approve
28,5/5/2020 13:32,Female,16,4,Liberal,Only now and then,Somewhat worried,Yes,2400,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Not sure,Not sure,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
23,5/5/2020 13:43,Male,5,6,Liberal,Some of the time,Very worried,No,,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
73,5/5/2020 13:29,Male,8,4,Moderate,Some of the time,Somewhat worried,Yes,2400,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve,Not sure,Not sure,Somewhat approve,Not sure,Somewhat approve
55,5/5/2020 13:12,Female,1,5,Liberal,Most of the time,Not too worried,Yes,1200,Unemployed,A different candidate,,Strongly disapprove,Not sure,Not sure,Not sure,Somewhat disapprove,Not sure,Somewhat approve,Not sure,Not sure,Somewhat approve
61,5/5/2020 13:24,Male,12,3,Moderate,Most of the time,Very worried,Yes,1500,Retired,A different candidate,,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve
68,5/5/2020 13:35,Male,4,4,Not sure,Hardly at all,Not worried at all,Not sure,,Retired,A different candidate,,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Strongly approve
60,5/5/2020 13:36,Female,14,2,Very conservative,Most of the time,Not worried at all,No,,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
32,5/5/2020 13:43,Male,2,5,Moderate,Some of the time,Very worried,Not sure,,Full-time,Would not vote,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
39,5/5/2020 13:16,Female,6,5,Very conservative,Most of the time,Somewhat worried,No,,Unemployed,Donald Trump (Republican),,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Somewhat approve
45,5/5/2020 13:43,Male,17,6,Moderate,Some of the time,Somewhat worried,No,,Full-time,Joe Biden (Democrat),,Somewhat approve,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat approve,Somewhat approve
25,5/5/2020 13:38,Male,1,1,Liberal,Some of the time,Very worried,No,,Student,A different candidate,,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
67,5/5/2020 13:40,Male,13,3,Liberal,Most of the time,Somewhat worried,No,,Full-time,A different candidate,,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
69,5/5/2020 13:31,Female,14,5,Liberal,Most of the time,Somewhat worried,Yes,2400,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve
57,5/5/2020 13:41,Female,11,3,Moderate,Only now and then,Not too worried,No,,Full-time,Not sure,Donald Trump (Republican),Somewhat approve,Somewhat disapprove,Not sure,Not sure,Strongly disapprove,Not sure,Somewhat approve,Not sure,Not sure,Not sure
52,5/5/2020 13:41,Male,21,7,Very liberal,Most of the time,Very worried,Yes,4,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve
41,5/5/2020 13:41,Male,1,4,Moderate,Only now and then,Not too worried,Yes,1200,Unemployed,Would not vote,,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Not sure,Not sure,Not sure,Somewhat approve,Strongly approve
45,5/5/2020 13:34,Female,20,6,Moderate,Some of the time,Somewhat worried,Yes,526,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Not sure,Not sure,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
30,5/5/2020 13:18,Male,19,6,Liberal,Most of the time,Very worried,Yes,100,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
30,5/5/2020 13:43,Female,11,6,Moderate,Most of the time,Very worried,Yes,1000,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve
33,5/5/2020 13:29,Male,19,2,Liberal,Most of the time,Not too worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly approve
65,5/5/2020 13:26,Female,3,3,Very conservative,Some of the time,Not too worried,Yes,1200,Unemployed,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve
70,5/5/2020 13:32,Female,3,7,Liberal,Some of the time,Somewhat worried,Yes,1200,Retired,Joe Biden (Democrat),,Somewhat approve,Not sure,Somewhat approve,Somewhat disapprove,Not sure,Strongly approve,Not sure,Not sure,Somewhat approve,Somewhat approve
60,5/5/2020 13:30,Male,13,4,Very conservative,Most of the time,Very worried,No,,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve
74,5/5/2020 13:41,Female,11,7,Conservative,Most of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat approve
60,5/5/2020 13:40,Female,1,2,Conservative,Only now and then,Very worried,No,,Retired,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
57,5/5/2020 13:31,Male,4,6,Moderate,Some of the time,Somewhat worried,Yes,500,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
56,5/5/2020 13:34,Female,14,6,Conservative,Some of the time,Not too worried,Yes,2400,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Not sure,Not sure,Strongly approve,Somewhat disapprove,Somewhat approve,Not sure,Strongly disapprove,Not sure
35,5/5/2020 13:38,Male,1,2,Very conservative,Some of the time,Not worried at all,Yes,1200,Full-time,Donald Trump (Republican),,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
41,5/5/2020 13:33,Male,13,7,Very liberal,Most of the time,Very worried,Yes,1200,Temporarily laid off,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly approve
51,5/5/2020 13:44,Female,-3105,1,Not sure,Only now and then,Not too worried,No,,Student,A different candidate,,Not sure,Not sure,Not sure,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Somewhat disapprove,Strongly approve
51,5/5/2020 13:39,Female,5,5,Not sure,Hardly at all,Not too worried,Yes,1200,Permanently disabled,Would not vote,,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Strongly disapprove,Not sure
54,5/5/2020 13:27,Male,-3105,3,Liberal,Some of the time,Somewhat worried,No,,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve
53,5/5/2020 13:34,Female,19,7,Liberal,Most of the time,Very worried,Yes,2,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Not sure,Strongly approve,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve
43,5/5/2020 13:42,Male,12,7,Liberal,Most of the time,Very worried,Yes,1200,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly approve,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat disapprove,Strongly approve
60,5/5/2020 13:39,Female,18,5,Moderate,Most of the time,Somewhat worried,No,,Part-time,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Not sure,Strongly disapprove,Strongly approve,Somewhat disapprove
27,5/5/2020 13:41,Male,5,2,Moderate,Some of the time,Somewhat worried,Yes,1200,Permanently disabled,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Not sure,Not sure,Strongly approve,Somewhat approve
33,5/5/2020 13:26,Male,13,2,Moderate,Hardly at all,Very worried,Yes,1200,Part-time,Donald Trump (Republican),,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Somewhat approve
36,5/5/2020 13:36,Female,7,1,Very conservative,Most of the time,Not worried at all,No,,Homemaker,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
63,5/5/2020 13:21,Female,8,4,Moderate,Some of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Somewhat disapprove,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Not sure,Somewhat disapprove,Somewhat disapprove
50,5/5/2020 13:45,Male,19,4,Conservative,Most of the time,Not too worried,Yes,2400,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove
58,5/5/2020 13:42,Male,20,5,Moderate,Most of the time,Somewhat worried,No,,Retired,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve
48,5/5/2020 13:45,Male,8,5,Moderate,Some of the time,Somewhat worried,Yes,1000,Full-time,Donald Trump (Republican),,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove
24,5/5/2020 13:36,Female,10,8,Very conservative,Only now and then,Not too worried,Yes,2400,Student,Donald Trump (Republican),,Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Strongly approve
26,5/5/2020 13:45,Male,8,3,Not sure,Most of the time,Somewhat worried,Not sure,,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Not sure,Not sure,Not sure,Somewhat approve,Strongly approve,Somewhat approve
82,5/5/2020 13:36,Male,5,4,Very conservative,Most of the time,Not worried at all,Yes,1200,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat disapprove
40,5/5/2020 13:39,Male,1,2,Liberal,Most of the time,Somewhat worried,No,,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Not sure,Strongly approve,Strongly approve,Not sure,Somewhat approve,Strongly approve
41,5/5/2020 13:45,Male,20,7,Very conservative,Most of the time,Very worried,Yes,1500,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve
44,5/5/2020 13:16,Female,9,5,Conservative,Most of the time,Somewhat worried,Yes,600,Full-time,Donald Trump (Republican),,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Somewhat disapprove,Not sure,Not sure,Somewhat approve,Not sure
30,5/5/2020 13:46,Male,-3105,6,Liberal,Some of the time,Somewhat worried,No,,Full-time,Would not vote,,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve
31,5/5/2020 13:39,Male,23,6,Moderate,Some of the time,Somewhat worried,Yes,400,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Not sure,Somewhat disapprove,Somewhat disapprove,Somewhat approve
29,5/5/2020 13:43,Male,1,8,Moderate,Some of the time,Not too worried,No,,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove
46,5/5/2020 13:39,Female,4,3,Liberal,Only now and then,Not too worried,Yes,1700,Unemployed,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Strongly disapprove,Not sure,Somewhat approve
27,5/5/2020 13:48,Male,19,6,Liberal,Most of the time,Very worried,Yes,303,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat disapprove
73,5/5/2020 13:36,Male,9,2,Moderate,Most of the time,Somewhat worried,Yes,2400,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve
62,5/5/2020 13:45,Female,5,2,Moderate,Most of the time,Very worried,No,,Retired,Joe Biden (Democrat),,Not sure,Not sure,Not sure,Strongly approve,Not sure,Strongly approve,Not sure,Strongly approve,Not sure,Not sure
26,5/5/2020 13:49,Male,2,3,Very liberal,Only now and then,Somewhat worried,No,,Part-time,A different candidate,,Somewhat approve,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve
78,5/5/2020 13:41,Female,9,5,Liberal,Most of the time,Somewhat worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Strongly approve
27,5/5/2020 13:42,Male,12,4,Liberal,Only now and then,Not worried at all,Yes,2400,Unemployed,Joe Biden (Democrat),,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
30,5/5/2020 13:44,Male,24,2,Very liberal,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve
65,5/5/2020 13:22,Female,5,6,Very liberal,Most of the time,Not too worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve
33,5/5/2020 13:47,Male,3,6,Conservative,Only now and then,Somewhat worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve
37,5/5/2020 13:39,Male,9,7,Very conservative,Most of the time,Very worried,Yes,20,Full-time,Donald Trump (Republican),,Somewhat disapprove,Strongly approve,Somewhat disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly approve
67,5/5/2020 13:21,Male,13,6,Very conservative,Some of the time,Somewhat worried,Yes,2400,Retired,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Strongly approve
44,5/5/2020 13:43,Male,9,5,Liberal,Some of the time,Somewhat worried,Yes,2400,Full-time,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve
34,5/5/2020 13:46,Male,4,2,Conservative,Some of the time,Somewhat worried,No,,Part-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve
56,5/5/2020 13:44,Female,15,3,Moderate,Most of the time,Somewhat worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove
63,5/5/2020 13:42,Female,19,6,Conservative,Most of the time,Very worried,Yes,2400,Part-time,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve
38,5/5/2020 13:47,Male,23,8,Very liberal,Most of the time,Very worried,Yes,10,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve
70,5/5/2020 13:30,Female,3,2,Liberal,Most of the time,Somewhat worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Not sure,Not sure,Strongly approve,Not sure,Strongly approve,Strongly disapprove,Strongly approve
55,5/5/2020 13:44,Female,14,4,Moderate,Most of the time,Not too worried,Yes,2400,Homemaker,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve
58,5/5/2020 13:39,Male,2,2,Moderate,Some of the time,Very worried,No,,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve
77,5/5/2020 13:28,Male,22,5,Conservative,Most of the time,Not too worried,No,,Retired,Joe Biden (Democrat),,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve
34,5/5/2020 13:34,Female,9,4,Moderate,Some of the time,Somewhat worried,Yes,2,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Strongly approve,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve
25,5/5/2020 13:40,Male,14,6,Not sure,Only now and then,Very worried,No,,Full-time,Not sure,Joe Biden (Democrat),Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve
71,5/5/2020 13:30,Female,5,3,Conservative,Some of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat disapprove,Strongly approve
58,5/5/2020 13:44,Female,14,6,Very liberal,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
65,5/5/2020 13:38,Male,13,6,Liberal,Some of the time,Somewhat worried,No,,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve
40,5/5/2020 13:45,Male,5,5,Moderate,Most of the time,Very worried,Yes,1200,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Not sure,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve
55,5/5/2020 13:43,Female,16,6,Very conservative,Most of the time,Somewhat worried,Yes,2400,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Not sure,Strongly disapprove,Strongly approve,Somewhat disapprove
20,5/5/2020 13:31,Female,1,2,Very liberal,Most of the time,Somewhat worried,Yes,1,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve
30,5/5/2020 13:43,Male,3,6,Liberal,Most of the time,Somewhat worried,Yes,1200,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
60,5/5/2020 13:44,Male,24,7,Very conservative,Most of the time,Somewhat worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve
70,5/5/2020 13:43,Female,11,5,Conservative,Some of the time,Not too worried,Yes,1200,Temporarily laid off,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove
19,5/5/2020 13:42,Male,1,1,Moderate,Only now and then,Somewhat worried,Yes,1000,Student,Joe Biden (Democrat),,Somewhat disapprove,Not sure,Somewhat disapprove,Not sure,Not sure,Somewhat approve,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve
86,5/5/2020 13:40,Female,2,2,Liberal,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve
38,5/5/2020 13:44,Male,15,6,Moderate,Most of the time,Somewhat worried,Yes,2400,Temporarily laid off,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve
64,5/5/2020 13:39,Female,24,6,Conservative,Some of the time,Not too worried,No,,Part-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve
18,5/5/2020 13:36,Male,1,2,Liberal,Some of the time,Not too worried,No,,Student,Not sure,Joe Biden (Democrat),Somewhat disapprove,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve
66,5/5/2020 13:35,Female,3,1,Moderate,Some of the time,Very worried,No,,Retired,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve,Somewhat approve
20,5/5/2020 13:36,Male,1,4,Not sure,Some of the time,Not too worried,Not sure,,Temporarily laid off,Donald Trump (Republican),,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove
