age,starttime,gender,hhi,education,ideo5,newsint,corona1,stimulus_check,amount,employ,pres_2020,pres_2020lean,dfp_public_figure_ap_1,dfp_public_figure_ap_2,dfp_public_figure_ap_3,dfp_public_figure_ap_4,dfp_public_figure_ap_5,dfp_public_figure_ap_6,dfp_public_figure_ap_7,dfp_public_figure_ap_8,dfp_public_figure_ap_9,dfp_public_figure_ap_10
37,5/19/2020 11:15,Female,8,6,Conservative,Some of the time,Very worried,Yes,1700,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Somewhat approve,Somewhat disapprove,Strongly approve
26,5/19/2020 11:17,Male,5,4,Very liberal,Most of the time,Not too worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve
39,5/19/2020 11:16,Female,24,6,Very conservative,Most of the time,Very worried,Yes,2400,Homemaker,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
37,5/19/2020 11:15,Female,6,6,Liberal,Some of the time,Somewhat worried,No,,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve
41,5/19/2020 11:20,Female,14,7,Conservative,Most of the time,Somewhat worried,Yes,1700,Full-time,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve
28,5/19/2020 11:18,Female,1,2,Moderate,Only now and then,Not worried at all,Yes,1700,Unemployed,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Somewhat approve
19,5/19/2020 11:17,Female,3,2,Moderate,Some of the time,Somewhat worried,No,,Part-time,A different candidate,,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve
20,5/19/2020 11:22,Female,24,6,Liberal,Some of the time,Very worried,No,,Student,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
19,5/19/2020 11:21,Male,1,2,Liberal,Most of the time,Somewhat worried,No,,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat approve
41,5/19/2020 11:15,Female,9,6,Moderate,Some of the time,Somewhat worried,No,,Part-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Somewhat disapprove,Not sure,Strongly approve,Somewhat approve,Strongly approve,Somewhat disapprove,Not sure
27,5/19/2020 11:22,Female,8,2,Moderate,Some of the time,Very worried,Yes,2200,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Not sure,Somewhat disapprove,Not sure,Not sure,Strongly approve,Strongly disapprove,Not sure
44,5/19/2020 11:15,Female,21,7,Moderate,Most of the time,Somewhat worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Strongly disapprove,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve
39,5/19/2020 11:11,Male,2,6,Conservative,Most of the time,Somewhat worried,Yes,1700,Temporarily laid off,Donald Trump (Republican),,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve
31,5/19/2020 11:23,Female,5,6,Conservative,Some of the time,Very worried,Yes,1200,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat disapprove,Not sure,Somewhat disapprove,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve
36,5/19/2020 11:21,Female,4,6,Very conservative,Most of the time,Not worried at all,Yes,1700,Full-time,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Somewhat disapprove,Not sure,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
51,5/19/2020 11:16,Female,3,2,Not sure,Hardly at all,Not too worried,No,,Permanently disabled,Would not vote,,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Somewhat approve
67,5/19/2020 11:10,Male,6,5,Conservative,Most of the time,Not too worried,Yes,2400,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve
43,5/19/2020 11:10,Male,15,6,Moderate,Most of the time,Very worried,Yes,1200,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
21,5/19/2020 11:22,Male,1,2,Not sure,Hardly at all,Very worried,No,,Unemployed,Donald Trump (Republican),,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove
18,5/19/2020 11:20,Male,2,2,Liberal,Some of the time,Not worried at all,Yes,1,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
32,5/19/2020 11:23,Female,1,2,Not sure,Hardly at all,Not worried at all,Yes,1700,Full-time,Would not vote,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
24,5/19/2020 11:21,Female,11,6,Liberal,Most of the time,Very worried,Yes,2400,Part-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve,Strongly disapprove,Somewhat disapprove
33,5/19/2020 11:16,Female,1,2,Moderate,Some of the time,Not too worried,Yes,2200,Homemaker,Donald Trump (Republican),,Somewhat approve,Not sure,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Somewhat approve
20,5/19/2020 11:18,Male,-3105,2,Moderate,Only now and then,Not too worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve
59,5/19/2020 11:14,Male,20,6,Moderate,Some of the time,Not too worried,No,,Unemployed,Would not vote,,Somewhat approve,Not sure,Not sure,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Somewhat approve,Strongly approve
33,5/19/2020 11:22,Female,6,4,Moderate,Some of the time,Somewhat worried,Yes,2200,Full-time,A different candidate,,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove
49,5/19/2020 11:21,Female,3,2,Moderate,Most of the time,Very worried,Yes,1200,Full-time,Donald Trump (Republican),,Strongly approve,Not sure,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve
35,5/19/2020 11:23,Female,14,4,Moderate,Only now and then,Somewhat worried,Yes,1200,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat approve,Not sure,Not sure,Somewhat approve,Not sure,Not sure,Not sure,Somewhat approve
18,5/19/2020 11:20,Male,1,2,Conservative,Hardly at all,Not worried at all,No,,Unemployed,Donald Trump (Republican),,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve
38,5/19/2020 11:20,Female,1,6,Conservative,Some of the time,Not too worried,No,,Homemaker,Donald Trump (Republican),,Strongly approve,Not sure,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Somewhat disapprove,Somewhat approve,Somewhat disapprove
30,5/19/2020 11:23,Female,3,2,Moderate,Hardly at all,Not worried at all,No,,Part-time,Would not vote,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
69,5/19/2020 11:26,Male,8,2,Very liberal,Some of the time,Somewhat worried,Yes,1600,Retired,A different candidate,,Strongly approve,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve
58,5/19/2020 11:20,Female,4,6,Conservative,Most of the time,Somewhat worried,Yes,1200,Full-time,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Strongly approve
40,5/19/2020 11:21,Female,8,2,Moderate,Only now and then,Not too worried,Yes,1200,Unemployed,A different candidate,,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat disapprove,Strongly disapprove,Not sure,Not sure,Somewhat approve
23,5/19/2020 11:22,Male,-3105,6,Liberal,Some of the time,Very worried,Yes,1200,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Strongly approve
30,5/19/2020 11:23,Male,14,4,Moderate,Most of the time,Very worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat disapprove
50,5/19/2020 11:23,Male,19,4,Conservative,Some of the time,Not worried at all,Yes,2400,Temporarily laid off,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat disapprove
61,5/19/2020 11:20,Male,12,2,Moderate,Some of the time,Somewhat worried,Yes,2400,Temporarily laid off,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Strongly disapprove,Strongly approve
51,5/19/2020 11:24,Female,3,6,Moderate,Only now and then,Very worried,Yes,1200,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Strongly approve,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Strongly approve,Not sure,Somewhat approve
23,5/19/2020 11:21,Female,1,6,Conservative,Hardly at all,Very worried,Yes,1200,Part-time,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Somewhat disapprove,Somewhat disapprove,Strongly approve
35,5/19/2020 11:26,Female,3,2,Very conservative,Only now and then,Somewhat worried,No,,Homemaker,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Not sure,Not sure,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve
29,5/19/2020 11:26,Male,24,7,Very liberal,Most of the time,Very worried,Yes,50,Full-time,Donald Trump (Republican),,Not sure,Not sure,Not sure,Not sure,Strongly disapprove,Strongly disapprove,Not sure,Not sure,Not sure,Strongly disapprove
30,5/19/2020 11:27,Male,9,5,Conservative,Most of the time,Very worried,No,,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve
37,5/19/2020 11:20,Female,5,6,Moderate,Some of the time,Somewhat worried,Yes,1200,Unemployed,Donald Trump (Republican),,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Not sure,Somewhat disapprove,Somewhat approve,Somewhat disapprove
31,5/19/2020 11:25,Female,18,6,Moderate,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Strongly approve
20,5/19/2020 11:29,Male,1,7,Moderate,Some of the time,Somewhat worried,No,,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve
41,5/19/2020 11:22,Male,3,3,Moderate,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve
23,5/19/2020 11:26,Female,1,6,Very liberal,Most of the time,Very worried,Yes,1,Part-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Not sure
52,5/19/2020 11:14,Female,19,6,Liberal,Some of the time,Not too worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Somewhat approve,Somewhat disapprove
27,5/19/2020 11:21,Female,14,6,Moderate,Some of the time,Somewhat worried,Yes,1291,Homemaker,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Not sure,Strongly approve,Somewhat approve
25,5/19/2020 11:25,Male,11,6,Conservative,Most of the time,Somewhat worried,Yes,1200,Temporarily laid off,Not sure,Donald Trump (Republican),Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve
41,5/19/2020 11:21,Female,3,4,Not sure,Only now and then,Not too worried,No,,Temporarily laid off,Not sure,Donald Trump (Republican),Somewhat approve,Not sure,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Not sure,Strongly disapprove,Not sure,Strongly disapprove
31,5/19/2020 11:22,Female,2,6,Moderate,Most of the time,Somewhat worried,Yes,2,Part-time,Joe Biden (Democrat),,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve
30,5/19/2020 11:30,Female,3,2,Liberal,Some of the time,Very worried,Yes,2400,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve
21,5/19/2020 11:26,Female,9,6,Very liberal,Some of the time,Somewhat worried,Yes,1200,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly approve,Strongly disapprove,Somewhat approve
26,5/19/2020 11:29,Male,1,2,Not sure,Hardly at all,Somewhat worried,Not sure,,Student,Not sure,Donald Trump (Republican),Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
32,5/19/2020 11:29,Female,7,4,Moderate,Some of the time,Somewhat worried,Not sure,,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Strongly disapprove
42,5/19/2020 11:18,Male,7,6,Very conservative,Most of the time,Not worried at all,Yes,2400,Permanently disabled,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
54,5/19/2020 11:25,Male,13,5,Moderate,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove
34,5/19/2020 11:29,Female,12,2,Moderate,Most of the time,Somewhat worried,No,,Homemaker,A different candidate,,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve
28,5/19/2020 11:29,Male,11,6,Conservative,Only now and then,Not too worried,Yes,1000,Full-time,Donald Trump (Republican),,Strongly approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Strongly approve
